Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-11643,Security patch applied: Monitoring for any issues.,Facilities,Thor,Michal,Matrix,Service B,Closed,Low,High,Low,Low,21/04/2025 12:31:37,21/04/2025 19:31:55,23/04/2025 10:19:39,Monday,23/04/2025 10:19:39
CR-11644,Endpoint offline: Device not syncing with central server.,Facilities,Peter,Jan,Avengers,Service B,Closed,High,Low,Medium,Low,21/04/2025 11:38:25,21/04/2025 13:44:17,23/04/2025 08:55:45,Monday,23/04/2025 08:55:45
CR-11645,DDoS attack mitigation active: Rate-limiting initiated.,Software,Captain America,Iron Man,Avengers,Service B,On Hold,Medium,Low,Medium,Low,21/04/2025 04:14:04,,,Monday,
CR-11646,Failed cloud synchronization: Files cannot be uploaded.,Hardware,Michal,Martin,Matrix,Service B,Closed,Low,Medium,Medium,Low,21/04/2025 07:10:43,21/04/2025 14:28:26,22/04/2025 09:29:35,Monday,22/04/2025 09:29:35
CR-11647,Suspicious API calls detected: Abnormal volume of requests identified.,Software,John Wick,Iron Man,Matrix,Service C,Closed,Medium,Low,Low,High,21/04/2025 16:17:51,21/04/2025 20:24:37,22/04/2025 09:37:13,Monday,22/04/2025 09:37:13
CR-11648,Antivirus disabled on workstation: Protection compromised.,Access,Peter,Black Panther,Avengers,Service A,Closed,Medium,Medium,High,Low,21/04/2025 13:36:01,21/04/2025 21:12:16,22/04/2025 01:06:42,Monday,22/04/2025 01:06:42
CR-11649,Web server certificate expired: Issue flagged for priority teams.,Access,Iron Man,Hulk,Matrix,Service C,Closed,High,Medium,Low,Medium,21/04/2025 06:23:42,21/04/2025 12:34:42,22/04/2025 21:31:13,Monday,22/04/2025 21:31:13
CR-11650,Unscheduled file deletion detected on shared drive.,Hardware,Michal,Peter,Matrix,Service A,Closed,Low,High,Low,High,21/04/2025 03:07:19,21/04/2025 05:41:39,22/04/2025 11:03:03,Monday,22/04/2025 11:03:03
CR-11651,Failed malware removal: Corrupted file system detected.,Hardware,Michal,Iron Man,Avengers,Service A,Closed,High,High,Medium,High,21/04/2025 11:02:48,21/04/2025 17:39:25,23/04/2025 05:24:59,Monday,23/04/2025 05:24:59
CR-11652,Unauthorized access attempt detected: IP flagged as suspicious.,Data,Peter,Iron Man,Matrix,Service A,Closed,High,High,Low,High,21/04/2025 12:24:54,21/04/2025 16:40:28,22/04/2025 22:39:59,Monday,22/04/2025 22:39:59
CR-11653,Dark web monitoring alert: Credentials detected for sale online.,Data,Captain America,Hulk,Avengers II,Service A,Closed,Low,Medium,Medium,High,21/04/2025 02:29:31,21/04/2025 08:27:28,21/04/2025 22:27:29,Monday,21/04/2025 22:27:29
CR-11654,VPN connection failure: Unable to securely tunnel data.,Access,Black Panther,Thor,Avengers,Service A,Closed,High,Medium,Low,Medium,21/04/2025 13:50:12,21/04/2025 17:15:46,23/04/2025 06:23:06,Monday,23/04/2025 06:23:06
CR-11655,Unscheduled software change: Application version rolled back.,Complaint,Michal,Martin,Matrix,Service B,In Progress,Medium,Medium,High,Low,21/04/2025 13:14:08,21/04/2025 19:11:06,,Monday,
CR-11656,ARP spoofing detected: Network traffic rerouted.,Failure,Black Panther,Captain America,Matrix,Service C,Closed,Medium,Medium,High,Low,21/04/2025 20:55:23,22/04/2025 05:09:22,23/04/2025 05:18:08,Monday,23/04/2025 05:18:08
CR-11657,DNS attack detected: Unusual query patterns observed.,Software,Thor,Jan,Matrix,Service A,Closed,Low,Medium,Low,Low,21/04/2025 02:28:52,21/04/2025 09:12:18,21/04/2025 11:36:06,Monday,21/04/2025 11:36:06
CR-11658,Failed SSO login: Invalid credentials provided.,Data,Hulk,Jan,Avengers II,Service C,In Progress,High,Low,Low,Low,21/04/2025 12:50:01,21/04/2025 17:03:20,,Monday,
CR-11659,Malware detected on endpoint: Quarantine initiated.,Failure,Hulk,Peter,Matrix,Service A,Closed,Low,High,Low,Medium,21/04/2025 21:29:27,22/04/2025 04:38:23,23/04/2025 13:18:32,Monday,23/04/2025 13:18:32
CR-11660,SQL injection attempt: Unauthorized queries flagged.,Software,Black Panther,Michal,Avengers,Service B,Closed,Medium,Medium,Low,Medium,21/04/2025 00:59:02,21/04/2025 08:29:45,22/04/2025 17:21:22,Monday,22/04/2025 17:21:22
CR-11661,Critical security incident logged: Immediate remediation required.,Hardware,Black Panther,Michal,Avengers,Service A,Closed,Medium,Medium,High,Medium,21/04/2025 23:55:06,22/04/2025 03:16:40,22/04/2025 15:59:51,Monday,22/04/2025 15:59:51
CR-11662,Ransomware execution blocked by endpoint protection.,Hardware,Black Panther,Michal,Matrix,Service A,Closed,High,Medium,High,Medium,21/04/2025 19:23:58,22/04/2025 01:12:31,23/04/2025 13:47:40,Monday,23/04/2025 13:47:40
CR-11663,Data breach notification sent to affected users.,Hardware,Hulk,Thor,Avengers II,Service B,Closed,Low,Medium,High,Medium,21/04/2025 18:59:42,21/04/2025 21:37:14,22/04/2025 13:19:09,Monday,22/04/2025 13:19:09
CR-11664,Access request denied: Policy mismatch.,Failure,Black Panther,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,High,21/04/2025 07:34:55,21/04/2025 15:53:46,23/04/2025 08:43:19,Monday,23/04/2025 08:43:19
CR-11665,Failed cloud synchronization: Files cannot be uploaded.,Complaint,John Wick,Captain America,Avengers,Service A,Closed,Medium,Medium,Low,Medium,21/04/2025 02:08:49,21/04/2025 08:52:42,21/04/2025 17:42:04,Monday,21/04/2025 17:42:04
CR-11666,Network scanning tool triggered security alert.,Access,Michal,Martin,Avengers,Service B,Closed,Low,Low,Low,Low,21/04/2025 23:21:00,22/04/2025 02:14:23,23/04/2025 01:09:57,Monday,23/04/2025 01:09:57
CR-11667,DDoS attack detected: High traffic spotted on critical service.,Data,Captain America,Peter,Avengers,Service C,Closed,Medium,Low,Low,High,21/04/2025 04:05:18,21/04/2025 09:37:32,22/04/2025 03:24:15,Monday,22/04/2025 03:24:15
CR-11668,Expired password reset request: User notified.,Network,John Wick,John Wick,Avengers II,Service C,Closed,Low,Low,Medium,Medium,21/04/2025 21:18:21,22/04/2025 03:50:50,22/04/2025 21:15:52,Monday,22/04/2025 21:15:52
CR-11669,Cloud storage accessed by untrusted device.,Software,Iron Man,Black Panther,Avengers II,Service A,Closed,Low,High,Low,Medium,21/04/2025 12:27:53,21/04/2025 16:47:48,22/04/2025 00:30:43,Monday,22/04/2025 00:30:43
CR-11670,Unauthorized device connected: MAC address not whitelisted.,Software,Martin,Peter,Matrix,Service B,Closed,High,Medium,Low,Low,21/04/2025 14:39:19,21/04/2025 19:38:39,22/04/2025 02:59:17,Monday,22/04/2025 02:59:17
CR-11671,Failed Workflow - ID: 0000,Network,Thor,Captain America,Avengers II,Service C,In Progress,Low,Low,Low,High,21/04/2025 03:31:39,21/04/2025 05:55:47,,Monday,
CR-11672,Security patch applied: Monitoring for any issues.,Software,Martin,Peter,Avengers,Service A,Closed,Medium,High,Medium,High,21/04/2025 14:14:20,21/04/2025 17:02:17,22/04/2025 18:09:03,Monday,22/04/2025 18:09:03
CR-11673,Keylogger activity detected on user's workstation.,Data,Jan,Peter,Avengers,Service B,Closed,Medium,Medium,Low,Low,21/04/2025 12:39:51,21/04/2025 19:02:39,23/04/2025 10:02:15,Monday,23/04/2025 10:02:15
CR-11674,Unscheduled software change: Application version rolled back.,Failure,John Wick,Black Panther,Avengers II,Service A,Closed,High,Low,High,High,21/04/2025 22:44:32,22/04/2025 05:56:35,23/04/2025 14:12:20,Monday,23/04/2025 14:12:20
CR-11675,Web application timeout: Performance degradation observed.,Hardware,Peter,Peter,Avengers II,Service B,Closed,Medium,Medium,High,Medium,21/04/2025 08:05:01,21/04/2025 16:36:41,22/04/2025 01:11:20,Monday,22/04/2025 01:11:20
CR-11676,Internal network inaccessible: Ping requests time out.,Hardware,Thor,Peter,Matrix,Service B,Closed,Low,Low,Medium,Low,21/04/2025 11:56:56,21/04/2025 20:15:09,22/04/2025 05:57:16,Monday,22/04/2025 05:57:16
CR-11677,DNS attack detected: Unusual query patterns observed.,Data,Hulk,Jan,Avengers II,Service A,Closed,High,Low,Low,Medium,21/04/2025 23:06:26,22/04/2025 07:03:51,22/04/2025 23:56:01,Monday,22/04/2025 23:56:01
CR-11678,Failed packet inspection: Firewall rules misconfigured.,Access,John Wick,Hulk,Matrix,Service A,Closed,Low,High,Low,Medium,21/04/2025 18:58:29,22/04/2025 01:56:30,23/04/2025 20:35:35,Monday,23/04/2025 20:35:35
CR-11679,Unauthorized access attempt detected: IP flagged as suspicious.,Hardware,Captain America,Hulk,Avengers,Service C,Closed,High,High,Low,Low,21/04/2025 11:45:13,21/04/2025 17:37:19,23/04/2025 04:36:52,Monday,23/04/2025 04:36:52
CR-11680,Unscheduled file deletion detected on shared drive.,Facilities,Iron Man,Michal,Avengers,Service C,Closed,Low,Medium,Low,Medium,21/04/2025 16:21:39,22/04/2025 01:17:50,23/04/2025 18:51:59,Monday,23/04/2025 18:51:59
CR-11681,Network issue: Unable to connect to external API.,Access,Michal,John Wick,Matrix,Service B,Closed,Low,High,Low,High,21/04/2025 17:04:41,21/04/2025 20:01:50,22/04/2025 01:42:21,Monday,22/04/2025 01:42:21
CR-11682,File integrity check failed: Data corruption suspected.,Network,Iron Man,John Wick,Avengers II,Service A,Closed,Low,High,High,Medium,21/04/2025 01:15:53,21/04/2025 09:01:37,22/04/2025 22:20:57,Monday,22/04/2025 22:20:57
CR-11683,Service outage detected - No connection to database.,Facilities,Iron Man,Hulk,Avengers II,Service A,Closed,Medium,Low,Medium,High,21/04/2025 11:12:11,21/04/2025 16:43:41,22/04/2025 09:59:40,Monday,22/04/2025 09:59:40
CR-11684,Malicious macro executed within Office file.,Hardware,Hulk,Martin,Avengers II,Service B,On Hold,High,Low,High,Medium,21/04/2025 04:04:22,,,Monday,
CR-11685,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Software,Michal,Black Panther,Avengers II,Service B,Closed,Medium,Low,Medium,Low,21/04/2025 12:32:46,21/04/2025 18:45:45,23/04/2025 06:02:33,Monday,23/04/2025 06:02:33
CR-11686,Expired certificates detected: TLS handshake improper.,Hardware,Peter,Michal,Matrix,Service C,Closed,Medium,High,High,High,21/04/2025 20:12:03,21/04/2025 23:25:55,23/04/2025 20:04:09,Monday,23/04/2025 20:04:09
CR-11687,Unencrypted sensitive file shared externally.,Hardware,Black Panther,Hulk,Avengers II,Service A,Closed,High,High,Low,Medium,21/04/2025 08:27:24,21/04/2025 11:16:41,23/04/2025 00:27:24,Monday,23/04/2025 00:27:24
CR-11688,Unscheduled file deletion detected on shared drive.,Facilities,Peter,Iron Man,Avengers II,Service B,Closed,High,Low,Low,High,21/04/2025 13:44:46,21/04/2025 22:24:22,22/04/2025 13:13:45,Monday,22/04/2025 13:13:45
CR-11689,Access request denied: Policy mismatch.,Facilities,Hulk,Thor,Avengers II,Service B,Closed,Medium,Low,Medium,High,21/04/2025 18:50:41,21/04/2025 23:30:15,23/04/2025 12:15:42,Monday,23/04/2025 12:15:42
CR-11690,Failed packet inspection: Firewall rules misconfigured.,Hardware,Jan,Hulk,Avengers II,Service C,Closed,High,Medium,High,Low,21/04/2025 11:49:15,21/04/2025 16:57:07,23/04/2025 02:38:10,Monday,23/04/2025 02:38:10
CR-11691,Suspicious behavior: Multiple failed login attempts detected.,Access,Iron Man,Jan,Avengers II,Service B,Closed,High,Medium,Low,Low,21/04/2025 23:00:08,22/04/2025 05:51:37,23/04/2025 09:37:04,Monday,23/04/2025 09:37:04
CR-11692,Failed encryption process: Unable to secure sensitive data.,Software,Hulk,Iron Man,Avengers II,Service B,On Hold,Medium,Low,High,High,21/04/2025 17:43:43,,,Monday,
CR-11693,Phishing email flagged: User report received for fake login attempt.,Failure,Black Panther,Hulk,Matrix,Service C,Closed,Medium,High,Medium,High,21/04/2025 09:31:00,21/04/2025 17:20:48,23/04/2025 02:02:53,Monday,23/04/2025 02:02:53
CR-11694,Unscheduled file deletion detected on shared drive.,Software,Martin,Martin,Avengers,Service C,Closed,High,Low,Medium,High,21/04/2025 14:56:55,21/04/2025 19:44:09,22/04/2025 01:57:26,Monday,22/04/2025 01:57:26
CR-11695,DDoS attack mitigation active: Rate-limiting initiated.,Software,John Wick,Iron Man,Avengers II,Service B,Closed,High,High,Medium,Medium,21/04/2025 16:29:58,22/04/2025 01:18:26,23/04/2025 11:41:46,Monday,23/04/2025 11:41:46
CR-11696,Failed SSO login: Invalid credentials provided.,Access,Iron Man,Black Panther,Avengers,Service B,Closed,High,High,Medium,Low,21/04/2025 02:21:23,21/04/2025 09:51:24,22/04/2025 13:22:26,Monday,22/04/2025 13:22:26
CR-11697,Login attempt from blacklisted IP address blocked.,Network,Martin,Peter,Matrix,Service C,Closed,High,Medium,Low,High,21/04/2025 17:36:15,22/04/2025 00:48:23,22/04/2025 05:17:23,Monday,22/04/2025 05:17:23
CR-11698,Data breach notification sent to affected users.,Complaint,Michal,Iron Man,Matrix,Service B,Closed,High,High,Low,Low,21/04/2025 14:03:06,21/04/2025 20:11:54,23/04/2025 15:23:46,Monday,23/04/2025 15:23:46
CR-11699,DDoS attack detected: High traffic spotted on critical service.,Failure,John Wick,Martin,Avengers,Service B,Closed,High,High,Low,Medium,21/04/2025 13:42:04,21/04/2025 22:19:17,22/04/2025 20:40:53,Monday,22/04/2025 20:40:53
CR-11700,Internal network inaccessible: Ping requests time out.,Complaint,Peter,Jan,Avengers,Service C,On Hold,High,Medium,Medium,High,21/04/2025 02:12:07,,,Monday,
CR-11701,Cloud instance misconfiguration: Public access enabled.,Access,Peter,Jan,Avengers II,Service A,Closed,Low,High,Low,Medium,21/04/2025 00:49:56,21/04/2025 05:11:15,22/04/2025 15:47:57,Monday,22/04/2025 15:47:57
CR-11702,Data exfiltration alert: Large outbound transfer from server.,Complaint,Martin,Jan,Avengers,Service C,Closed,Medium,Medium,High,Low,21/04/2025 02:54:53,21/04/2025 07:41:04,22/04/2025 08:45:12,Monday,22/04/2025 08:45:12
CR-11703,Database transaction rollback error flagged for audit.,Access,Black Panther,Michal,Avengers,Service A,Closed,Low,Medium,Low,High,21/04/2025 12:19:40,21/04/2025 19:46:15,23/04/2025 00:51:05,Monday,23/04/2025 00:51:05
CR-11704,Cloud misconfiguration alert: Public exposure of sensitive data.,Failure,John Wick,Black Panther,Avengers II,Service A,New,High,High,Medium,Low,21/04/2025 22:23:16,,,Monday,
CR-11705,Malicious macro executed within Office file.,Network,Martin,Peter,Matrix,Service B,Closed,High,Low,Low,Medium,21/04/2025 12:36:54,21/04/2025 18:09:43,23/04/2025 07:17:31,Monday,23/04/2025 07:17:31
CR-11706,Critical security incident logged: Immediate remediation required.,Data,Black Panther,Michal,Avengers,Service C,Closed,Low,High,High,Low,21/04/2025 06:15:27,21/04/2025 10:02:52,22/04/2025 16:18:45,Monday,22/04/2025 16:18:45
CR-11707,SQL injection attempt: Unauthorized queries flagged.,Data,Hulk,Peter,Avengers II,Service B,Closed,High,High,Medium,Medium,21/04/2025 12:55:37,21/04/2025 20:41:07,22/04/2025 23:49:45,Monday,22/04/2025 23:49:45
CR-11708,Cloud storage accessed by untrusted device.,Facilities,Jan,Peter,Avengers II,Service C,Closed,Low,High,Medium,High,21/04/2025 05:40:48,21/04/2025 09:53:53,23/04/2025 05:03:25,Monday,23/04/2025 05:03:25
CR-11709,USB device blocked: Removable media protection active.,Hardware,Jan,Martin,Matrix,Service B,Closed,High,Medium,Medium,Low,21/04/2025 12:08:46,21/04/2025 20:18:11,22/04/2025 05:00:14,Monday,22/04/2025 05:00:14
CR-11710,Critical system alert: Root access attempted on production server.,Software,Iron Man,Captain America,Avengers II,Service C,Closed,Medium,Medium,Low,High,21/04/2025 12:27:11,21/04/2025 19:38:04,22/04/2025 00:45:39,Monday,22/04/2025 00:45:39
CR-11711,Cloud misconfiguration alert: Public exposure of sensitive data.,Software,John Wick,Peter,Avengers II,Service B,New,Low,Low,Low,High,21/04/2025 10:54:38,,,Monday,
CR-11712,Cloud instance misconfiguration: Public access enabled.,Hardware,Martin,John Wick,Avengers,Service A,Closed,Low,High,High,High,21/04/2025 03:56:18,21/04/2025 11:54:07,22/04/2025 05:50:31,Monday,22/04/2025 05:50:31
CR-11713,Cloud misconfiguration alert: Public exposure of sensitive data.,Network,Peter,Michal,Matrix,Service B,Closed,Low,Low,Low,Medium,21/04/2025 01:01:02,21/04/2025 09:58:37,22/04/2025 03:18:11,Monday,22/04/2025 03:18:11
CR-11714,Data exfiltration alert: Large outbound transfer from server.,Failure,Thor,Captain America,Avengers II,Service C,Closed,Medium,Low,Medium,Medium,21/04/2025 23:24:10,22/04/2025 07:51:14,23/04/2025 14:32:33,Monday,23/04/2025 14:32:33
CR-11715,Unscheduled software change: Application version rolled back.,Complaint,Peter,Martin,Avengers,Service A,Closed,High,Low,Low,High,21/04/2025 06:17:47,21/04/2025 10:53:24,21/04/2025 15:05:59,Monday,21/04/2025 15:05:59
CR-11716,Critical system alert: Root access attempted on production server.,Facilities,Martin,Michal,Avengers II,Service C,Closed,Low,Medium,High,High,21/04/2025 11:30:14,21/04/2025 14:55:09,22/04/2025 14:41:28,Monday,22/04/2025 14:41:28
CR-11717,Unencrypted sensitive file shared externally.,Network,John Wick,Peter,Matrix,Service A,Closed,High,Low,High,Low,21/04/2025 09:32:31,21/04/2025 16:38:34,22/04/2025 17:24:44,Monday,22/04/2025 17:24:44
CR-11718,Cloud misconfiguration alert: Public exposure of sensitive data.,Data,John Wick,John Wick,Avengers,Service C,Closed,Low,Medium,High,High,21/04/2025 22:51:26,22/04/2025 02:26:32,23/04/2025 10:01:39,Monday,23/04/2025 10:01:39
CR-11719,Unauthorized device connected: MAC address not whitelisted.,Access,Jan,Captain America,Matrix,Service B,New,Medium,Medium,Low,Medium,21/04/2025 00:05:54,,,Monday,
CR-11720,Malicious macro executed within Office file.,Facilities,Black Panther,Michal,Matrix,Service C,Closed,High,Medium,Medium,Medium,21/04/2025 12:11:34,21/04/2025 19:06:05,22/04/2025 15:21:06,Monday,22/04/2025 15:21:06
CR-11721,Breach alert: Privileged credentials exposed.,Failure,Jan,Jan,Avengers,Service A,Closed,Low,High,Low,High,21/04/2025 01:27:21,21/04/2025 04:53:33,21/04/2025 16:28:13,Monday,21/04/2025 16:28:13
CR-11722,Unauthorized access attempt detected: IP flagged as suspicious.,Access,Thor,Michal,Matrix,Service A,Closed,High,High,Low,High,21/04/2025 19:55:06,22/04/2025 03:50:07,23/04/2025 16:26:47,Monday,23/04/2025 16:26:47
CR-11723,Server reboot required: Kernel update incomplete.,Data,Captain America,John Wick,Avengers,Service C,Closed,Medium,High,Low,High,21/04/2025 17:18:14,21/04/2025 23:44:44,23/04/2025 07:15:14,Monday,23/04/2025 07:15:14
CR-11724,Data exfiltration alert: High outbound traffic flagged.,Failure,Thor,Thor,Avengers II,Service C,New,High,Low,Medium,High,21/04/2025 19:16:29,,,Monday,
CR-11725,Internal network inaccessible: Ping requests time out.,Data,Iron Man,Hulk,Avengers II,Service B,Closed,Low,Medium,Low,Low,21/04/2025 03:36:19,21/04/2025 07:21:31,22/04/2025 23:25:40,Monday,22/04/2025 23:25:40
CR-11726,Login attempt from blacklisted IP address blocked.,Access,Captain America,Iron Man,Avengers II,Service B,Closed,High,Medium,Medium,High,21/04/2025 11:36:53,21/04/2025 17:12:19,22/04/2025 19:00:00,Monday,22/04/2025 19:00:00
CR-11727,Internal network inaccessible: Ping requests time out.,Access,John Wick,Captain America,Avengers,Service A,Closed,Medium,Medium,Low,Low,21/04/2025 18:28:59,22/04/2025 01:24:47,22/04/2025 10:42:15,Monday,22/04/2025 10:42:15
CR-11728,User permission escalation detected on cloud platform.,Access,Captain America,Hulk,Matrix,Service A,Closed,High,Low,High,High,21/04/2025 13:59:20,21/04/2025 16:43:23,21/04/2025 22:46:55,Monday,21/04/2025 22:46:55
CR-11729,Data download from personal device flagged for review.,Software,Martin,Peter,Avengers,Service A,Closed,Medium,Low,High,High,21/04/2025 18:54:10,21/04/2025 23:36:15,22/04/2025 18:48:04,Monday,22/04/2025 18:48:04
CR-11730,User permission escalation detected on cloud platform.,Network,Michal,Michal,Matrix,Service A,Closed,Medium,High,High,Medium,21/04/2025 16:31:28,21/04/2025 23:40:29,22/04/2025 08:14:43,Monday,22/04/2025 08:14:43
